nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2021,01,0,0,"0,000","0,00","5,146","0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2021,01,0,0,"0,000","0,00","1,085","0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2021,01,0,0,"0,000","0,00","1,271","0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2021,01,0,0,"0,000","0,00","1,364","0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2021,01,0,0,"0,000","0,00","1,395","0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2021,01,0,0,"0,000","0,00",930,"0,00"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,2021,01,0,302,"151,000","302,00",775,"19,48"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,2021,01,0,0,"0,000","0,00","2,294","0,00"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,2021,01,0,0,"0,000","0,00","2,418","0,00"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,2021,01,0,58,"29,000","58,00",527,"5,50"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,2021,01,0,194,"192,000","194,00",961,"19,98"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2022,01,0,0,"3,916","0,00","5,611","69,79"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2022,01,75,"3,566","3,281","3,64","6,138","53,45"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2022,01,2,"4,438","2,517","4,44","6,665","37,76"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2022,01,0,0,"0,000","0,00","4,278","0,00"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2022,01,33,"4,418","3.755,000","4,45","6,2","60,56"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2022,01,2,"3,126","3,128","3,13","3,782","82,71"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2022,01,0,0,"0,000","0,00","2,48","0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2022,01,6,"4,346","4,500","4,35","4,588","98,08"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2022,01,0,0,"0,000","0,00","4,03","0,00"
